,artist,album,track_name,popularity,img_url,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,text_data
125,Lucky Ali,Sunoh,O Sanam,64,https://i.scdn.co/image/ab67616d0000b2737c8248da2e4e0104e4bfdea0,0.76,0.555,7,-10.165,1,0.0465,0.213,0.0822,0.52,98.066,O Sanam Lucky Ali Sunoh
126,Amit Trivedi,Lootera,Sawaar Loon,64,https://i.scdn.co/image/ab67616d0000b2730e26db222796cf4207425abc,0.82,0.645,5,-6.873,1,0.0433,6.89e-05,0.118,0.789,111.935,Sawaar Loon Amit Trivedi Lootera
127,Harshit Saxena,Murder 2,Phir Mohabbat,64,https://i.scdn.co/image/ab67616d0000b2732432edc97b465e6db54d356b,0.461,0.481,0,-6.389,0,0.0327,1.01e-06,0.127,0.262,199.807,Phir Mohabbat Harshit Saxena Murder 2
128,Pritam,Yeh Jawaani Hai Deewani,Badtameez Dil,64,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,0.806,0.932,2,-2.228,0,0.0684,0.0,0.216,0.792,106.021,Badtameez Dil Pritam Yeh Jawaani Hai Deewani
129,Various Artists,Baar Baar Dekho (Original Motion Picture Soundtrack),Nachde Ne Saare,64,https://i.scdn.co/image/ab67616d0000b27303c03da08efb9051d8fae5d5,0.82,0.907,7,-4.517,1,0.0607,4.85e-05,0.0816,0.834,126.062,Nachde Ne Saare Various Artists Baar Baar Dekho (Original Motion Picture Soundtrack)
130,Vishal-Shekhar,The Dirty Picture,Ishq Sufiyana (Male),64,https://i.scdn.co/image/ab67616d0000b27354ab341c139cfe4dc15d2d39,0.511,0.622,10,-6.184,1,0.0435,7.78e-05,0.0465,0.387,85.349,Ishq Sufiyana (Male) Vishal-Shekhar The Dirty Picture
131,A.R. Rahman,Guru (Original Motion Picture Soundtrack),Tere Bina,64,https://i.scdn.co/image/ab67616d0000b2730504fdf58bae8cd52dd13047,0.744,0.7,2,-7.663,1,0.0375,0.000155,0.068,0.867,144.033,Tere Bina A.R. Rahman Guru (Original Motion Picture Soundtrack)
132,Pritam,Bajrangi Bhaijaan,Zindagi Kuch Toh Bata (Reprise),64,https://i.scdn.co/image/ab67616d0000b273e7f1ff44b74df429307f4164,0.528,0.615,5,-7.118,1,0.0372,0.000111,0.104,0.225,123.988,Zindagi Kuch Toh Bata (Reprise) Pritam Bajrangi Bhaijaan
133,Madan Mohan,Veer - Zaara,Main Yahaan Hoon,64,https://i.scdn.co/image/ab67616d0000b27396fa496a2cfc301430589024,0.484,0.788,4,-7.625,0,0.0565,0.0132,0.0939,0.741,171.973,Main Yahaan Hoon Madan Mohan Veer - Zaara
134,Various Artists,Rustom,Dekha Hazaro Dafaa,64,https://i.scdn.co/image/ab67616d0000b273c202064e0775440dacef8802,0.411,0.277,7,-8.844,1,0.0305,0.0,0.209,0.345,143.768,Dekha Hazaro Dafaa Various Artists Rustom
